state_cluster_id,lag_cluster,id_no,state,id,year,total_distance,medoid_rank1,medoid_rank2,noswitch,switched,n_noswitch,n_switched,flag
1,1,41,South Carolina,SC,2008,2.9999998,16,,1,0,49,2,0
1,1,42,South Dakota,SD,2008,1.9,2,,1,0,49,2,0
1,1,43,Tennessee,TN,2008,3.2666664,22,,1,0,49,2,0
2,2,44,Texas,TX,2008,7.666667,,21,1,0,49,2,0
1,1,45,Utah,UT,2008,4.2666664,28,,1,0,49,2,0
1,1,46,Vermont,VT,2008,2.4333332,5.5,,1,0,49,2,0
1,1,47,Virginia,VA,2008,3.5666664,25,,1,0,49,2,0
2,2,48,Washington,WA,2008,5.7380953,,18,1,0,49,2,0
1,1,49,West Virginia,WV,2008,2.4333332,5.5,,1,0,49,2,0
2,2,50,Wisconsin,WI,2008,4.4047618,,6,1,0,49,2,0
1,1,51,Wyoming,WY,2008,3.1666665,20.5,,1,0,49,2,0
1,1,1,Alabama,AL,2009,2.9833333,14.5,,1,0,47,4,0
1,1,2,Alaska,AK,2009,1.9833333,2,,1,0,47,4,0
1,1,3,Arizona,AZ,2009,4.3499994,29,,1,0,47,4,0
1,2,4,Arkansas,AR,2009,3.5833335,22,,0,1,47,4,0
2,2,5,California,CA,2009,5.833333,,14,1,0,47,4,0
1,1,6,Colorado,CO,2009,3.3166666,20,,1,0,47,4,0
2,2,7,Connecticut,CT,2009,4.666667,,6,1,0,47,4,0
2,2,8,Delaware,DE,2009,5.0476189,,8,1,0,47,4,0
2,2,9,District of Columbia,DC,2009,5.5714288,,12,1,0,47,4,0
1,1,10,Florida,FL,2009,2.9833333,14.5,,1,0,47,4,0
1,1,11,Georgia,GA,2009,4.083333,25,,1,0,47,4,0
2,2,12,Hawaii,HI,2009,5.4761906,,11,1,0,47,4,0
1,1,13,Idaho,ID,2009,2.7166667,8.5,,1,0,47,4,0
2,2,14,Illinois,IL,2009,6.4285707,,19,1,0,47,4,0
1,1,15,Indiana,IN,2009,2.7166667,8.5,,1,0,47,4,0
1,1,16,Iowa,IA,2009,2.7833333,10,,1,0,47,4,0
1,1,17,Kansas,KS,2009,2.7833335,11.5,,1,0,47,4,0
1,1,18,Kentucky,KY,2009,2.7833335,11.5,,1,0,47,4,0
1,2,19,Louisiana,LA,2009,4.1166668,27,,0,1,47,4,0
2,2,20,Maine,ME,2009,5.2857141,,10,1,0,47,4,0
2,2,21,Maryland,MD,2009,4.5238099,,3.5,1,0,47,4,0
2,2,22,Massachusetts,MA,2009,5.9047613,,16,1,0,47,4,0
2,2,23,Michigan,MI,2009,5.1428571,,9,1,0,47,4,0
2,2,24,Minnesota,MN,2009,5.6428566,,13,1,0,47,4,0
1,1,25,Mississippi,MS,2009,4.0166664,23,,1,0,47,4,0
1,1,26,Missouri,MO,2009,2.5833333,4,,1,0,47,4,0
1,1,27,Montana,MT,2009,1.9833333,2,,1,0,47,4,0
2,2,28,Nebraska,NE,2009,5.9285717,,17,1,0,47,4,0
1,1,29,Nevada,NV,2009,3.3166664,18,,1,0,47,4,0
1,1,30,New Hampshire,NH,2009,2.8166666,13,,1,0,47,4,0
2,2,31,New Jersey,NJ,2009,4.2142863,,1,1,0,47,4,0
2,1,32,New Mexico,NM,2009,6.7619047,,20,0,1,47,4,0
2,2,33,New York,NY,2009,4.6666665,,5,1,0,47,4,0
1,1,34,North Carolina,NC,2009,2.6499999,5,,1,0,47,4,0
1,1,35,North Dakota,ND,2009,3.3166666,20,,1,0,47,4,0
1,1,36,Ohio,OH,2009,3.2499998,16,,1,0,47,4,0
2,1,37,Oklahoma,OK,2009,6.3095236,,18,0,1,47,4,0
1,1,38,Oregon,OR,2009,4.1833334,28,,1,0,47,4,0
2,2,39,Pennsylvania,PA,2009,4.5238099,,3.5,1,0,47,4,0
2,2,40,Rhode Island,RI,2009,4.7142859,,7,1,0,47,4,0
1,1,41,South Carolina,SC,2009,3.2833333,17,,1,0,47,4,0
1,1,42,South Dakota,SD,2009,1.9833333,2,,1,0,47,4,0
1,1,43,Tennessee,TN,2009,4.0833335,26,,1,0,47,4,0
2,2,44,Texas,TX,2009,7.0714283,,21,1,0,47,4,0
1,1,45,Utah,UT,2009,4.6499996,30,,1,0,47,4,0
1,1,46,Vermont,VT,2009,2.6500001,6.5,,1,0,47,4,0
1,1,47,Virginia,VA,2009,4.0499997,24,,1,0,47,4,0
2,2,48,Washington,WA,2009,5.8571424,,15,1,0,47,4,0
1,1,49,West Virginia,WV,2009,2.6500001,6.5,,1,0,47,4,0
2,2,50,Wisconsin,WI,2009,4.5238094,,2,1,0,47,4,0
1,1,51,Wyoming,WY,2009,3.3166666,20,,1,0,47,4,0
1,1,1,Alabama,AL,2010,3.5,17,,1,0,47,4,0
